ProductKey,OrderDateKey,DueDateKey,ShipDateKey,CustomerKey,PromotionKey,CurrencyKey,SalesTerritoryKey,SalesOrderNumber,SalesOrderLineNumber,RevisionNumber,OrderQuantity,UnitPrice,ExtendedAmount,UnitPriceDiscountPct,DiscountAmount,ProductStandardCost,TotalProductCost,SalesAmount,TaxAmt,Freight,CarrierTrackingNumber,CustomerPONumber,OrderDate,DueDate,ShipDate
353,20121231,20130112,20130107,11345,1,100,7,SO51224,1,1,1,2319.99,2319.99,0,0,1265.6195,1265.6195,2319.99,185.5992,57.9998,,,41274,41286,41281
537,20121231,20130112,20130107,11345,1,100,7,SO51224,2,1,1,35,35,0,0,13.09,13.09,35,2.8,0.875,,,41274,41286,41281
581,20121231,20130112,20130107,20982,1,98,10,SO51225,1,1,1,1700.99,1700.99,0,0,1082.51,1082.51,1700.99,136.0792,42.5248,,,41274,41286,41281
490,20121231,20130112,20130107,20982,1,98,10,SO51225,2,1,1,53.99,53.99,0,0,41.5723,41.5723,53.99,4.3192,1.3498,,,41274,41286,41281
225,20121231,20130112,20130107,20982,1,98,10,SO51225,3,1,1,8.99,8.99,0,0,6.9223,6.9223,8.99,0.7192,0.2248,,,41274,41286,41281
380,20121231,20130112,20130107,22822,1,98,10,SO51226,1,1,1,2443.35,2443.35,0,0,1554.9479,1554.9479,2443.35,195.468,61.0838,,,41274,41286,41281
540,20121231,20130112,20130107,22822,1,98,10,SO51226,2,1,1,32.6,32.6,0,0,12.1924,12.1924,32.6,2.608,0.815,,,41274,41286,41281
378,20121231,20130112,20130107,25793,1,100,8,SO51227,1,1,1,2443.35,2443.35,0,0,1554.9479,1554.9479,2443.35,195.468,61.0838,,,41274,41286,41281
529,20121231,20130112,20130107,25793,1,100,8,SO51227,2,1,1,3.99,3.99,0,0,1.4923,1.4923,3.99,0.3192,0.0998,,,41274,41286,41281
540,20121231,20130112,20130107,25793,1,100,8,SO51227,3,1,1,32.6,32.6,0,0,12.1924,12.1924,32.6,2.608,0.815,,,41274,41286,41281
355,20121231,20130112,20130107,11402,1,100,7,SO51228,1,1,1,2319.99,2319.99,0,0,1265.6195,1265.6195,2319.99,185.5992,57.9998,,,41274,41286,41281
477,20121231,20130112,20130107,11402,1,100,7,SO51228,2,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248,,,41274,41286,41281
478,20121231,20130112,20130107,11402,1,100,7,SO51228,3,1,1,9.99,9.99,0,0,3.7363,3.7363,9.99,0.7992,0.2498,,,41274,41286,41281
487,20121231,20130112,20130107,11402,1,100,7,SO51228,4,1,1,54.99,54.99,0,0,20.5663,20.5663,54.99,4.3992,1.3748,,,41274,41286,41281
225,20121231,20130112,20130107,11402,1,100,7,SO51228,5,1,1,8.99,8.99,0,0,6.9223,6.9223,8.99,0.7192,0.2248,,,41274,41286,41281
378,20121231,20130112,20130107,20038,1,100,4,SO51229,1,1,1,2443.35,2443.35,0,0,1554.9479,1554.9479,2443.35,195.468,61.0838,,,41274,41286,41281
359,20121231,20130112,20130107,11292,1,100,4,SO51230,1,1,1,2294.99,2294.99,0,0,1251.9813,1251.9813,2294.99,183.5992,57.3748,,,41274,41286,41281
485,20121231,20130112,20130107,11292,1,100,4,SO51230,2,1,1,21.98,21.98,0,0,8.2205,8.2205,21.98,1.7584,0.5495,,,41274,41286,41281
477,20121231,20130112,20130107,11292,1,100,4,SO51230,3,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248,,,41274,41286,41281
478,20121231,20130112,20130107,11292,1,100,4,SO51230,4,1,1,9.99,9.99,0,0,3.7363,3.7363,9.99,0.7992,0.2498,,,41274,41286,41281
363,20121231,20130112,20130107,11257,1,100,4,SO51231,1,1,1,2294.99,2294.99,0,0,1251.9813,1251.9813,2294.99,183.5992,57.3748,,,41274,41286,41281
480,20121231,20130112,20130107,11257,1,100,4,SO51231,2,1,1,2.29,2.29,0,0,0.8565,0.8565,2.29,0.1832,0.0573,,,41274,41286,41281
571,20121231,20130112,20130107,11615,1,98,10,SO51232,1,1,1,742.35,742.35,0,0,461.4448,461.4448,742.35,59.388,18.5588,,,41274,41286,41281
214,20121231,20130112,20130107,11615,1,98,10,SO51232,2,1,1,34.99,34.99,0,0,13.0863,13.0863,34.99,2.7992,0.8748,,,41274,41286,41281
583,20121231,20130112,20130107,18467,1,6,9,SO51233,1,1,1,1700.99,1700.99,0,0,1082.51,1082.51,1700.99,136.0792,42.5248,,,41274,41286,41281
562,20121231,20130112,20130107,28204,1,6,9,SO51234,1,1,1,2384.07,2384.07,0,0,1481.9379,1481.9379,2384.07,190.7256,59.6018,,,41274,41286,41281
214,20121231,20130112,20130107,28204,1,6,9,SO51234,2,1,1,34.99,34.99,0,0,13.0863,13.0863,34.99,2.7992,0.8748,,,41274,41286,41281
361,20121231,20130112,20130107,11105,1,6,9,SO51235,1,1,1,2294.99,2294.99,0,0,1251.9813,1251.9813,2294.99,183.5992,57.3748,,,41274,41286,41281
359,20121231,20130112,20130107,11106,1,6,9,SO51236,1,1,1,2294.99,2294.99,0,0,1251.9813,1251.9813,2294.99,183.5992,57.3748,,,41274,41286,41281
357,20121231,20130112,20130107,11061,1,6,9,SO51237,1,1,1,2319.99,2319.99,0,0,1265.6195,1265.6195,2319.99,185.5992,57.9998,,,41274,41286,41281
478,20121231,20130112,20130107,11061,1,6,9,SO51237,2,1,1,9.99,9.99,0,0,3.7363,3.7363,9.99,0.7992,0.2498,,,41274,41286,41281
477,20121231,20130112,20130107,11061,1,6,9,SO51237,3,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248,,,41274,41286,41281
214,20121231,20130112,20130107,11061,1,6,9,SO51237,4,1,1,34.99,34.99,0,0,13.0863,13.0863,34.99,2.7992,0.8748,,,41274,41286,41281
359,20121231,20130112,20130107,11002,1,6,9,SO51238,1,1,1,2294.99,2294.99,0,0,1251.9813,1251.9813,2294.99,183.5992,57.3748,,,41274,41286,41281
353,20121231,20130112,20130107,11076,2,6,9,SO51239,1,1,1,2319.99,2319.99,0,0,1265.6195,1265.6195,2319.99,185.5992,57.9998,,,41274,41286,41281
487,20121231,20130112,20130107,11076,1,6,9,SO51239,2,1,1,54.99,54.99,0,0,20.5663,20.5663,54.99,4.3992,1.3748,,,41274,41286,41281
584,20121231,20130112,20130107,23859,1,19,6,SO51240,1,1,1,539.99,539.99,0,0,343.6496,343.6496,539.99,43.1992,13.4998,,,41274,41286,41281
222,20121231,20130112,20130107,23859,1,19,6,SO51240,2,1,1,34.99,34.99,0,0,13.0863,13.0863,34.99,2.7992,0.8748,,,41274,41286,41281
606,20121231,20130112,20130107,21600,1,100,4,SO51241,1,1,1,539.99,539.99,0,0,343.6496,343.6496,539.99,43.1992,13.4998,,,41274,41286,41281
538,20121231,20130112,20130107,21600,1,100,4,SO51241,2,1,1,21.49,21.49,0,0,8.0373,8.0373,21.49,1.7192,0.5373,,,41274,41286,41281
480,20121231,20130112,20130107,21600,1,100,4,SO51241,3,1,1,2.29,2.29,0,0,0.8565,0.8565,2.29,0.1832,0.0573,,,41274,41286,41281
388,20121231,20130112,20130107,19225,1,100,4,SO51242,1,1,1,1120.49,1120.49,0,0,713.0798,713.0798,1120.49,89.6392,28.0123,,,41274,41286,41281
222,20121231,20130112,20130107,19225,1,100,4,SO51242,2,1,1,34.99,34.99,0,0,13.0863,13.0863,34.99,2.7992,0.8748,,,41274,41286,41281
471,20121231,20130112,20130107,19225,1,100,4,SO51242,3,1,1,63.5,63.5,0,0,23.749,23.749,63.5,5.08,1.5875,,,41274,41286,41281
605,20121231,20130112,20130107,25609,1,98,10,SO51243,1,1,1,539.99,539.99,0,0,343.6496,343.6496,539.99,43.1992,13.4998,,,41274,41286,41281
538,20121231,20130112,20130107,25609,1,98,10,SO51243,2,1,1,21.49,21.49,0,0,8.0373,8.0373,21.49,1.7192,0.5373,,,41274,41286,41281
529,20121231,20130112,20130107,25609,1,98,10,SO51243,3,1,1,3.99,3.99,0,0,1.4923,1.4923,3.99,0.3192,0.0998,,,41274,41286,41281
604,20121231,20130112,20130107,29355,1,100,8,SO51244,1,1,1,539.99,539.99,0,0,343.6496,343.6496,539.99,43.1992,13.4998,,,41274,41286,41281
538,20121231,20130112,20130107,29355,1,100,8,SO51244,2,1,1,21.49,21.49,0,0,8.0373,8.0373,21.49,1.7192,0.5373,,,41274,41286,41281
529,20121231,20130112,20130107,29355,1,100,8,SO51244,3,1,1,3.99,3.99,0,0,1.4923,1.4923,3.99,0.3192,0.0998,,,41274,41286,41281
480,20121231,20130112,20130107,29355,1,100,8,SO51244,4,1,1,2.29,2.29,0,0,0.8565,0.8565,2.29,0.1832,0.0573,,,41274,41286,41281
562,20121231,20130112,20130107,12124,1,100,7,SO51245,1,1,1,2384.07,2384.07,0,0,1481.9379,1481.9379,2384.07,190.7256,59.6018,,,41274,41286,41281
222,20121231,20130112,20130107,12124,1,100,7,SO51245,2,1,1,34.99,34.99,0,0,13.0863,13.0863,34.99,2.7992,0.8748,,,41274,41286,41281
225,20121231,20130112,20130107,12124,1,100,7,SO51245,3,1,1,8.99,8.99,0,0,6.9223,6.9223,8.99,0.7192,0.2248,,,41274,41286,41281
574,20121231,20130112,20130107,25625,1,100,8,SO51246,1,1,1,2384.07,2384.07,0,0,1481.9379,1481.9379,2384.07,190.7256,59.6018,,,41274,41286,41281
479,20121231,20130112,20130107,25625,1,100,8,SO51246,2,1,1,8.99,8.99,0,0,3.3623,3.3623,8.99,0.7192,0.2248,,,41274,41286,41281
477,20121231,20130112,20130107,25625,1,100,8,SO51246,3,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248,,,41274,41286,41281
214,20121231,20130112,20130107,25625,1,100,8,SO51246,4,1,1,34.99,34.99,0,0,13.0863,13.0863,34.99,2.7992,0.8748,,,41274,41286,41281
372,20121230,20130111,20130106,18208,1,6,9,SO51203,1,1,1,2443.35,2443.35,0,0,1554.9479,1554.9479,2443.35,195.468,61.0838,,,41273,41285,41280
479,20121230,20130111,20130106,18208,1,6,9,SO51203,2,1,1,8.99,8.99,0,0,3.3623,3.3623,8.99,0.7192,0.2248,,,41273,41285,41280
477,20121230,20130111,20130106,18208,1,6,9,SO51203,3,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248,,,41273,41285,41280
374,20121230,20130111,20130106,13519,2,6,9,SO51204,1,1,1,2443.35,2443.35,0,0,1554.9479,1554.9479,2443.35,195.468,61.0838,,,41273,41285,41280
355,20121230,20130111,20130106,11240,1,98,10,SO51205,1,1,1,2319.99,2319.99,0,0,1265.6195,1265.6195,2319.99,185.5992,57.9998,,,41273,41285,41280
478,20121230,20130111,20130106,11240,1,98,10,SO51205,2,1,1,9.99,9.99,0,0,3.7363,3.7363,9.99,0.7992,0.2498,,,41273,41285,41280
477,20121230,20130111,20130106,11240,1,98,10,SO51205,3,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248,,,41273,41285,41280
222,20121230,20130111,20130106,11240,1,98,10,SO51205,4,1,1,34.99,34.99,0,0,13.0863,13.0863,34.99,2.7992,0.8748,,,41273,41285,41280
361,20121230,20130111,20130106,11400,1,98,10,SO51206,1,1,1,2294.99,2294.99,0,0,1251.9813,1251.9813,2294.99,183.5992,57.3748,,,41273,41285,41280
478,20121230,20130111,20130106,11400,1,98,10,SO51206,2,1,1,9.99,9.99,0,0,3.7363,3.7363,9.99,0.7992,0.2498,,,41273,41285,41280
477,20121230,20130111,20130106,11400,1,98,10,SO51206,3,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248,,,41273,41285,41280
225,20121230,20130111,20130106,11400,1,98,10,SO51206,4,1,1,8.99,8.99,0,0,6.9223,6.9223,8.99,0.7192,0.2248,,,41273,41285,41280
357,20121230,20130111,20130106,11338,1,100,8,SO51207,1,1,1,2319.99,2319.99,0,0,1265.6195,1265.6195,2319.99,185.5992,57.9998,,,41273,41285,41280
478,20121230,20130111,20130106,11338,1,100,8,SO51207,2,1,1,9.99,9.99,0,0,3.7363,3.7363,9.99,0.7992,0.2498,,,41273,41285,41280
477,20121230,20130111,20130106,11338,1,100,8,SO51207,3,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248,,,41273,41285,41280
214,20121230,20130111,20130106,11338,1,100,8,SO51207,4,1,1,34.99,34.99,0,0,13.0863,13.0863,34.99,2.7992,0.8748,,,41273,41285,41280
372,20121230,20130111,20130106,23234,1,100,8,SO51208,1,1,1,2443.35,2443.35,0,0,1554.9479,1554.9479,2443.35,195.468,61.0838,,,41273,41285,41280
222,20121230,20130111,20130106,23234,1,100,8,SO51208,2,1,1,34.99,34.99,0,0,13.0863,13.0863,34.99,2.7992,0.8748,,,41273,41285,41280
593,20121230,20130111,20130106,13059,1,100,4,SO51209,1,1,1,564.99,564.99,0,0,308.2179,308.2179,564.99,45.1992,14.1248,,,41273,41285,41280
485,20121230,20130111,20130106,13059,1,100,4,SO51209,2,1,1,21.98,21.98,0,0,8.2205,8.2205,21.98,1.7584,0.5495,,,41273,41285,41280
217,20121230,20130111,20130106,13059,1,100,4,SO51209,3,1,1,34.99,34.99,0,0,13.0863,13.0863,34.99,2.7992,0.8748,,,41273,41285,41280
465,20121230,20130111,20130106,13059,1,100,4,SO51209,4,1,1,24.49,24.49,0,0,9.1593,9.1593,24.49,1.9592,0.6123,,,41273,41285,41280
361,20121230,20130111,20130106,11261,1,100,4,SO51210,1,1,1,2294.99,2294.99,0,0,1251.9813,1251.9813,2294.99,183.5992,57.3748,,,41273,41285,41280
222,20121230,20130111,20130106,11261,1,100,4,SO51210,2,1,1,34.99,34.99,0,0,13.0863,13.0863,34.99,2.7992,0.8748,,,41273,41285,41280
565,20121230,20130111,20130106,13841,1,98,10,SO51211,1,1,1,742.35,742.35,0,0,461.4448,461.4448,742.35,59.388,18.5588,,,41273,41285,41280
482,20121230,20130111,20130106,13841,1,98,10,SO51211,2,1,1,8.99,8.99,0,0,3.3623,3.3623,8.99,0.7192,0.2248,,,41273,41285,41280
