Area Code (Location),Area Code,Budget COGS,Budget Margin,Budget Profit,Budget Sales,Cogs,Date,Inventory,Margin,Market Size,Market,Marketing,Number of Records,Product Type,ProductId (Product),Product Id,Product,Profit,Sales,State,Total Expenses,Type
719,719,90,130,100,220,89,01-01-2010 00:00:00,777,130,Major Market,Central,24,1,Coffee,1,1,Amaretto,94,219,Colorado,36,Regular
970,970,80,110,80,190,83,01-01-2010 00:00:00,623,107,Major Market,Central,27,1,Coffee,2,2,Columbian,68,190,Colorado,39,Regular
970,970,100,140,110,240,95,01-01-2010 00:00:00,821,139,Major Market,Central,26,1,Coffee,3,3,Decaf Irish Cream,101,234,Colorado,38,Decaf
303,303,30,50,30,80,44,01-01-2010 00:00:00,623,56,Major Market,Central,14,1,Tea,13,13,Green Tea,30,100,Colorado,26,Regular
303,303,60,90,70,150,54,01-01-2010 00:00:00,456,80,Major Market,Central,15,1,Espresso,5,5,Caffe Mocha,54,134,Colorado,26,Regular
720,720,80,130,80,210,72,01-01-2010 00:00:00,558,108,Major Market,Central,23,1,Espresso,6,6,Decaf Espresso,53,180,Colorado,55,Decaf
970,970,140,160,110,300,170,01-01-2010 00:00:00,1091,171,Major Market,Central,47,1,Herbal Tea,8,8,Chamomile,99,341,Colorado,72,Decaf
719,719,50,80,20,130,63,01-01-2010 00:00:00,435,87,Major Market,Central,57,1,Herbal Tea,9,9,Lemon,0,150,Colorado,87,Decaf
970,970,50,70,40,120,60,01-01-2010 00:00:00,336,80,Major Market,Central,19,1,Herbal Tea,10,10,Mint,33,140,Colorado,47,Decaf
719,719,40,70,20,110,58,01-01-2010 00:00:00,338,72,Major Market,Central,22,1,Tea,11,11,Darjeeling,17,130,Colorado,55,Regular
303,303,50,70,40,120,64,01-01-2010 00:00:00,965,76,Major Market,Central,19,1,Tea,12,12,Earl Grey,36,140,Colorado,40,Regular
217,217,150,210,130,360,144,01-01-2010 00:00:00,862,201,Major Market,Central,47,1,Coffee,2,2,Columbian,111,345,Illinois,90,Regular
309,309,100,140,100,240,95,01-01-2010 00:00:00,608,139,Major Market,Central,30,1,Coffee,3,3,Decaf Irish Cream,87,234,Illinois,52,Decaf
309,309,270,370,260,640,234,01-01-2010 00:00:00,1310,312,Major Market,Central,77,1,Espresso,5,5,Caffe Mocha,203,546,Illinois,109,Regular
630,630,260,270,180,530,228,01-01-2010 00:00:00,1459,228,Major Market,Central,63,1,Espresso,6,6,Decaf Espresso,140,456,Illinois,88,Decaf
312,312,70,120,100,190,89,01-01-2010 00:00:00,777,130,Major Market,Central,24,1,Herbal Tea,8,8,Chamomile,95,219,Illinois,35,Decaf
630,630,70,90,60,160,83,01-01-2010 00:00:00,623,107,Major Market,Central,27,1,Herbal Tea,9,9,Lemon,68,190,Illinois,39,Decaf
773,773,80,120,100,200,95,01-01-2010 00:00:00,821,139,Major Market,Central,26,1,Herbal Tea,10,10,Mint,101,234,Illinois,38,Decaf
217,217,40,70,50,110,54,01-01-2010 00:00:00,456,80,Major Market,Central,15,1,Tea,11,11,Darjeeling,53,134,Illinois,27,Regular
708,708,60,90,40,150,72,01-01-2010 00:00:00,558,108,Major Market,Central,23,1,Tea,12,12,Earl Grey,54,180,Illinois,54,Regular
319,319,10,30,20,40,18,01-01-2010 00:00:00,821,27,Small Market,Central,5,1,Coffee,1,1,Amaretto,11,45,Iowa,16,Regular
641,641,20,40,20,60,28,01-01-2010 00:00:00,965,34,Small Market,Central,8,1,Coffee,2,2,Columbian,5,62,Iowa,29,Regular
712,712,20,30,20,50,23,01-01-2010 00:00:00,623,31,Small Market,Central,7,1,Coffee,3,3,Decaf Irish Cream,12,54,Iowa,19,Decaf
563,563,10,40,30,50,17,01-01-2010 00:00:00,777,26,Small Market,Central,4,1,Espresso,5,5,Caffe Mocha,11,43,Iowa,15,Regular
563,563,10,40,30,50,17,01-01-2010 00:00:00,777,26,Small Market,Central,4,1,Espresso,6,6,Decaf Espresso,10,43,Iowa,16,Decaf
641,641,200,280,200,480,234,01-01-2010 00:00:00,1310,312,Small Market,Central,77,1,Herbal Tea,8,8,Chamomile,202,546,Iowa,110,Decaf
563,563,80,120,90,200,95,01-01-2010 00:00:00,608,139,Small Market,Central,30,1,Herbal Tea,9,9,Lemon,86,234,Iowa,53,Decaf
